Census Tract,2028 Total Population
130670313.17,"4,458"
130670313.18,"4,943"
130670313.19,"5,242"
130670313.20,"4,675"
130670313.21,"2,446"
130670313.22,"5,022"
130670313.23,"2,836"
130670313.24,"3,983"
130670313.25,"2,247"
130670314.09,"6,366"
130670314.10,"4,661"
130670314.11,"4,361"
130670314.12,"4,589"
130670314.13,"3,561"
130670314.14,"4,503"
130670314.15,"2,610"
130670314.16,"4,327"
130670314.17,"3,036"
130670315.06,"7,316"
130670315.07,"3,459"
130670315.10,"3,458"
130670315.11,"5,712"
130670315.12,"6,211"
130670315.13,"5,490"
130670315.14,"2,697"
130670315.15,"4,577"
