Census Tract,2023 Median Household Income
130670302.48,"$71,438"
130670302.49,"$79,582"
130670302.50,"$141,172"
130670302.51,"$120,969"
130670302.52,"$153,726"
130670302.53,"$124,626"
130670302.54,"$93,310"
130670302.55,"$76,260"
130670302.56,"$154,828"
130670302.57,"$89,908"
130670302.58,"$80,271"
130670302.59,"$84,681"
130670302.60,"$78,356"
130670302.61,"$134,951"
130670302.62,"$143,255"
130670302.63,"$101,587"
130670302.64,"$160,785"
130670302.65,"$160,776"
130670302.66,"$128,933"
130670302.67,"$156,352"
130670302.68,"$138,976"
130670302.69,"$110,766"
130670302.70,"$105,095"
130670302.71,"$150,570"
130670302.72,"$106,366"
130670302.73,"$133,753"
130670302.74,"$97,309"
130670302.75,"$69,498"
130670302.76,"$136,558"
130670302.77,"$120,236"
130670302.78,"$81,634"
130670303.19,"$115,688"
130670303.22,"$125,116"
130670303.24,"$116,997"
130670303.26,"$162,302"
130670303.27,"$129,771"
130670303.29,"$122,886"
130670303.31,"$146,830"
130670303.32,"$133,370"
130670303.34,"$132,640"
130670303.35,"$172,453"
130670303.37,"$182,465"
130670303.40,"$167,078"
130670303.41,"$131,834"
130670303.42,"$151,533"
130670303.43,"$155,084"
130670303.44,"$53,448"
130670303.45,"$85,102"
130670303.46,"$79,559"
130670303.47,"$105,580"
130670303.48,"$111,245"
130670303.49,"$102,958"
130670303.50,"$105,552"
130670303.51,"$188,055"
130670303.52,"$157,475"
130670303.53,"$87,906"
130670303.54,"$147,932"
130670303.55,"$83,532"
130670303.56,"$89,956"
130670303.57,"$158,794"
130670303.58,"$122,128"
130670303.59,"$153,626"
130670303.60,"$165,228"
130670303.61,"$101,077"
130670303.62,"$102,322"
130670303.63,"$85,516"
130670303.64,"$102,398"
130670303.65,"$162,867"
130670303.66,"$184,419"
130670303.67,"$167,894"
130670303.68,"$155,929"
